Yeah ||| Neutral
Clearly, and always margin comes into which are the projects we have going, which projects we want, but I think when you think of it from a volume basis, clearly it won't be as dilutive as it was before ||| sales,earnings Neutral Uncertain

I'll lead off with this part ||| Neutral

We stepped back ||| Neutral

So well see, but so far, so good ||| Neutral

As you can see, the business results are strong ||| Neutral

As we begin, I'd like to point out that our 2016 fourth quarter results include restructuring costs of $16.1 million pre-tax or $0.15 per diluted share ||| earnings Positive Confident

And then, you mentioned the third thing ||| Neutral

Shifting to Printing ||| Neutral

So you're seeing the engineering come true for that, as well as on trucks and advancing commercial vehicles ||| Neutral

You know everybody is watching what happens in Washington but I'd say at this point in time we're not seeing a change in our funnel shape or size ||| products_services Neutral Confident

So that will also pick up ||| Neutral

Thanks, Jenn, and hi to everyone on the call, and thanks for joining us today ||| Neutral

The solid improvement was primarily due to higher revenue ||| sales Neutral

Consulting gross contribution margin decreased by 230 basis points year-on-year, primarily due to modest softness in the contract optimization business and a slight decline in utilization ||| sales,earnings Negative

Your second question was on Custom Compiler ||| Neutral

That doesn't happen overnight ||| Neutral

Our GRID graphics virtualization business more than tripled, driven by growth in business services, education, and automotive ||| products_services Positive Confident

Enbrel has a strong track record of safety and efficacy in treating patients with rheumatoid arthritis and psoriasis ||| products_services Positive Confident

Yeah, sarecycline could be a  the RHOFADE analogy ||| products_services Neutral Uncertain

There is what you can do with the card ||| Neutral

We invested in units, and there was some currency ||| Neutral

We're hearing that a lot in the community sector where they treat most of the lung cancer patients ||| Neutral Confident

We remain focused on disciplined execution to bring desired innovation to the market and to maximize profitability in the segment ||| Positive Confident

I think consumer revenue was up 14% year-over-year, even though we have done price increases ||| sales Neutral Uncertain

And I think when that happens, I think some of the products and solutions that we've developed, this acquisition that we've just done with TMBC, I think, position us well to help our clients with that ||| products_services,acquisitions Neutral Uncertain

I want to make a few opening comments and I'll pass it over to Jacob for some additional detail ||| Neutral Confident

[Indiscernible] ||| Neutral

And I think when I look through the numbers and try to normalize for ACA, we feel pretty good about where we are in terms of head count and also sales force productivity ||| sales,products_services Neutral Uncertain

Our margins this quarter were impacted by slower revenue growth as we maintain our investments and product sales and service, including dual operations cost related to our service alignment initiative ||| sales,earnings,op_costs,products_services,organic_expansion,op_risks Positive Confident

And so other players are going in that mid- to high single digit range as well ||| Neutral Confident
